Name,"NCBI GI","Uniprot Accession"
500481,218550367,
500482,91790639,
500484,182438873,
500485,70734272,
500486,53718273,
500487,91786568,
500489,163845488,
500493,71279716,
500496,118470881,
500497,118470717,
500498,83590149,
500499,111017169,
500501,21219927,
500502,119717447,
500503,72162194,
500505,29833464,
500506,226362622,
500507,111022867,
500508,148558558,
500509,16124911,
500510,118469906,
500511,192288541,
500512,86747261,
500513,119961247,
500514,161523073,
500515,71280280,
500516,119715653,
500518,238025296,
500519,239814315,
500520,90420053,
500521,260460403,
500522,256800240,
500523,529100,
500524,211926992,
500526,262277427,
500527,123509416,
500528,254441910,
500564,196236825,
500566,206577016,
500569,222080905,
500576,226355673,
500583,67923613,
500596,94985779,
500597,100123363,
500598,103486234,
500599,109897222,
500600,109898958,
500601,110347252,
500602,110634296,
500603,110678055,
500607,113868106,
500608,113953563,
500609,114707982,
500610,114761298,
500613,114843599,
500614,115389502,
500615,115399232,
500616,116249251,
500617,116249446,
500618,116249447,
500619,116253598,
500620,116253604,
500621,116253605,
500622,116253970,
500623,116621779,
500625,116671878,
500626,117165171,
500627,118027995,
500628,118031143,
500630,118039770,
500632,118065259,
500633,118065266,
500634,118067228,
500635,118471178,
500638,118589730,
500642,118718965,
500644,118732140,
500646,118756713,
500648,119496689,
500650,119963044,
500651,119963097,
500652,120610918,
500653,121527895,
500656,121610695,
500658,124872074,
500659,124894101,
500660,126008286,
500661,126353056,
500662,126353141,
500663,126353204,
500664,126464324,
500665,126464373,
500666,126648878,
500667,126668046,
500668,126724733,
500673,133911760,
500674,133911807,
500675,13472126,
500676,13472132,
500678,13472917,
500679,13475903,
500680,145588653,
500681,146303895,
500682,146304069,
500683,146309676,
500684,149175642,
500685,149178534,
500686,149188960,
500687,149197571,
500691,150375749,
500692,150377898,
500693,150386789,
500694,152966187,
500695,152972599,
500697,153893990,
500698,153896389,
500699,154247298,
500700,156043928,
500701,156534327,
500702,156869092,
500703,15890786,
500704,15891790,
500705,15922698,
500706,15922905,
500707,160936953,
500708,160938665,
500709,160938762,
500710,160941087,
500711,160941328,
500712,160941333,
500713,160942139,
500714,162147955,
500717,206577224,
500718,206676865,
500722,207082413,
500724,209909416,
500725,211927008,
500726,211957185,
500727,212545855,
500728,212639022,
500734,218269677,
500735,219860755,
500736,221083997,
500738,221633323,
500739,221633918,
500740,222081410,
500741,222087252,
500742,222087432,
500743,223515967,
500744,223992046,
500745,224386111,
500746,224386141,
500747,224387122,
500748,224390342,
500749,224390347,
500753,224821001,
500754,224822514,
500755,224822515,
500758,225386288,
500759,225386918,
500761,225387434,
500762,225387521,
500763,225387522,
500764,225387682,
500765,225387862,
500766,225388587,
500767,225390192,
500768,225390195,
500769,225390580,
500770,225405465,
500771,225405733,
500772,225412394,
500773,226357632,
500774,226360577,
500775,23099670,
500776,33592293,
500777,39973281,
500779,44237006,
500781,44283689,
500782,44300488,
500787,44399373,
500788,44404696,
500789,44409736,
500793,44481492,
500794,44509055,
500795,44513495,
500796,44518508,
500798,44589289,
500799,44590574,
500800,44616128,
500801,44625405,
500802,44636269,
500803,44644361,
500804,45914354,
500805,46116226,
500806,46311608,
500807,48428779,
500808,48783662,
500810,50121889,
500811,50123334,
500812,51035324,
500813,52082358,
500814,55229333,
500815,55232337,
500816,55232367,
500817,56420490,
500818,56679002,
500820,56962300,
500821,66045229,
500822,67158311,
500823,67537316,
500824,67666261,
500825,68191642,
500826,70606673,
500827,70607693,
500829,72162118,
500830,72162187,
500831,77978070,
500832,83721095,
500835,84353297,
500836,84497600,
500844,86360374,
500845,86360380,
500846,86360381,
500847,86360382,
500848,86360959,
500849,86360960,
500850,86361111,
500853,87308665,
500854,88710853,
500856,89067535,
500857,89068618,
500859,89899756,
500860,90416307,
500861,90419867,
500862,90420731,
500863,91787741,
500865,91790934,
500866,92114594,
500867,92114733,
500869,94972276,
500872,163727475,
500873,163734232,
500882,163792978,
500883,163793798,
500885,163796054,
500886,163796078,
500887,163857612,
500888,166711850,
500889,167362166,
500890,167568886,
500892,167768942,
500893,167835536,
500894,167927114,
500896,168334174,
500897,169186828,
500898,169187028,
500899,169188397,
500900,169190437,
500901,169197240,
500902,169198991,
500903,169198997,
500904,169198998,
500906,170694962,
500907,170769642,
500909,171095885,
500910,17547470,
500911,183598058,
500912,190893544,
500913,190894753,
500914,190894754,
500915,192810609,
500916,193589524,
500917,194289358,
500918,194289850,
500919,194343270,
500920,196249031,
500922,198254072,
500923,16263191,
500924,16264240,
500925,199598749,
500926,224454506,
500929,218661861,
500930,168333860,
500931,59712083,
500932,119960560,
500933,119961768,
500934,148553638,
500935,111019827,
500936,111023507,
500937,27376115,
500938,30022628,
500939,71282638,
500940,87199076,
500941,119964188,
500942,148553239,
500943,114798786,
500944,170724787,
500947,15597644,
500948,70731063,
500950,16127690,
500951,70732348,
500952,127511860,
500953,62198073,
500954,153010674,
500955,126444883,
500957,118471513,
500958,148554654,
500959,197337357,
500961,118472578,
500962,170727180,
500963,41407576,
500964,33595725,
500965,118469716,
500967,161620694,
500969,109898898,
500973,116750328,
500979,148380090,
500985,189219995,
500986,189423674,
500987,220903924,
500991,34498125,
500992,39936472,
500993,46578510,
500994,55379610,
500995,70729781,
500999,78222692,
501000,92113135,
501001,27383138,
501029,30021970,
501030,29346230,
501031,26989831,
501032,29345449,
501033,,
501034,30022414,
501035,30020316,
501036,26986804,
501037,58040362,
501038,26988886,
501039,16130602,
501041,29143081,
501042,30021490,
501043,56461686,
501044,30021105,
501045,26991442,
501047,39937374,
501048,,
501050,24372335,
501051,83855268,
501052,29143896,
501053,26989380,
501054,90111661,
501055,37522266,
501057,16131463,
501058,17547440,
501059,17548026,
501061,39933897,
501062,,
501063,34498479,
501064,34498761,
501065,33593831,
501066,34495744,
501067,,
501069,37523941,
501071,83954730,
501073,34497230,
501074,,
501075,33597483,
501076,,
501077,34495649,
